domain_group,endpoint,N,endpoint_rate,threshold_axis,threshold,unsupported_reuse,overrestriction,direct_use_allowance,true_portable_allowance,review_burden,frontier_status
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.61,0.302155347702318,0.09211061407076047,0.8235054900366002,0.8498508452104739,0.17649450996339974,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.62,0.3043920292801952,0.08743391622610817,0.8304188694591297,0.8574743122306927,0.16958113054087026,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.63,0.3074420496136641,0.08418056120374136,0.8367222448149655,0.8627775936360623,0.16327775518503457,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.64,0.31130540870272466,0.07787718584790565,0.8468889792598617,0.8730527013589658,0.15311102074013827,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.65,0.34871899145994306,0.06994713298088653,0.8922326148840992,0.8859794497845542,0.10776738511590077,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.66,0.3552257015046767,0.055713704758031724,0.9129727531516877,0.909181305933046,0.08702724684831233,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.67,0.35624237494916633,0.052257015046766976,0.917446116307442,0.9148160424262513,0.08255388369255795,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.68,0.376372509150061,0.01708011386742578,0.972753151687678,0.9721577726218097,0.027246848312322082,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.6900000000000001,0.3824725498169988,0.0075233834892232615,0.9884099227328182,0.9877361617500828,0.011590077267181781,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.7000000000000001,0.3828792191947946,0.0065067100447336315,0.9898332655551036,0.9893934371892609,0.010166734444896299,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.71,0.3828792191947946,0.0065067100447336315,0.9898332655551036,0.9893934371892609,0.010166734444896299,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.72,0.3832858885725905,0.0056933712891419274,0.9910532736884913,0.9907192575406032,0.008946726311508743,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.73,0.38348922326148843,0.005083367222448149,0.9918666124440829,0.99171362280411,0.008133387555917039,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.74,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.75,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.76,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.77,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.78,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.79,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.8,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.81,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.8200000000000001,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.8300000000000001,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.84,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.85,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.86,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
cardiomyopathy,conservative_composite_non_portability,4918,0.3865392435949573,direct-use threshold,0.87,0.3865392435949573,0.0,1.0,1.0,0.0,frontier
